Field,Required,Type
condition_occurrence_id,Yes,integer
person_id,Yes,integer
condition_concept_id,Yes,integer
condition_start_date,Yes,date
condition_start_datetime,No,datetime
condition_end_date,No,date
condition_end_datetime,No,datetime
condition_type_concept_id,Yes,integer
condition_status_concept_id,No,integer
stop_reason,No,varchar(20)
provider_id,No,integer
visit_occurrence_id,No,integer
visit_detail_id,No,integer
condition_source_value,No,varchar(50)
condition_source_concept_id,No,integer
condition_status_source_value,No,varchar(50)
