Field,Required,Type
observation_id,Yes,integer
person_id,Yes,integer
observation_concept_id,Yes,integer
observation_date,Yes,date
observation_datetime,No,datetime
observation_type_concept_id,Yes,integer
value_as_number,No,float
value_as_string,No,varchar(60)
value_as_concept_id,No,Integer
qualifier_concept_id,No,integer
unit_concept_id,No,integer
provider_id,No,integer
visit_occurrence_id,No,integer
visit_detail_id,No,integer
observation_source_value,No,varchar(50)
observation_source_concept_id,No,integer
unit_source_value,No,varchar(50)
qualifier_source_value,No,varchar(50)
