Field,Required,Type
visit_occurrence_id,Yes,integer
person_id,Yes,integer
visit_concept_id,Yes,integer
visit_start_date,Yes,date
visit_start_datetime,No,datetime
visit_end_date,Yes,date
visit_end_datetime,No,datetime
visit_type_concept_id,Yes,Integer
provider_id,No,integer
care_site_id,No,integer
visit_source_value,No,varchar(50)
visit_source_concept_id,No,integer
admitting_source_concept_id,No,integer
admitting_source_value,No,varchar(50)
discharge_to_concept_id,No,integer
discharge_to_source_value,No,varchar(50)
preceding_visit_occurrence_id,No,integer
