Field,Required,Type
person_id,Yes,integer
gender_concept_id,Yes,integer
year_of_birth,Yes,integer
month_of_birth,No,integer
day_of_birth,No,integer
birth_datetime,No,datetime
race_concept_id,Yes,integer
ethnicity_concept_id,Yes,integer
location_id,No,integer
provider_id,No,integer
care_site_id,No,integer
person_source_value,No,varchar(50)
gender_source_value,No,varchar(50)
gender_source_concept_id,No,integer
race_source_value,No,varchar(50)
race_source_concept_id,No,integer
ethnicity_source_value,No,varchar(50)
ethnicity_source_concept_id,No,integer
